id,ha_text,ig_text,ha_ig_text
4424,jamiyyar zata rabu biyu kuma haka mukeso 2023 mu cinye su zabe,,
4425,ameen abokina my best director,,
4426,gaskiya tagayamuku ai dama aure kukegasaryi dayafi lokaci natakuremuku bakusaniba allah yakyuta,,
4427,abun ya shiga villa kenan toh allah ya kyauta,,
4428,lallai masu saida waken suya zasuyi ciniki kwarai da gaske,,
4429,mma uwar gida   kenan    allah yasa hakan yayi amfani,,
4430,allah ya fadawa manzan allah cewa ya fadawa matan sa da matan musulman duniya gaba daya su dauki mayafi su rufe jikin su gaba  amma ke rahma saboda tsabar rashin daraja kinzo ki bar mutane sai zo,,
4431,allah ya taya riqo,,
4432,allah cika musu qudurinsu,,
4433,am sorry sis jinake kamar na tayaku kuku,,
4434,allah kyauta   marasa lfy allah ya basu mukuma da muke da ita yasa mu amfaneta,,
4435,wlh kina da birgewa  am just kidding,,
4436,allah ya yafemana zunuban mu  ya kuma sakamu cikin bayin da za a gafarta ma a cikin wnn watan,,
4437,gaskiya flm yayi dama duk babarinda zakaji ko tarihi yakamata kadan asalin farkonshi niday hakan ya birgeni kuma allh yakara basira da daukaka,,
4438,hmm allah ya kawo ma mutan lagos sauki wannan balla in,,
4439,allah shiryemu duka,,
4440,wlh kuwa allah yasa hakan shi ne mafi alkhairi,,
4441,allah abin godia irin haka ya kamata a rikayi,,
4442,hello hajjaju  kwana biu bna samun response dinki   know dat i still love and support u dear,,
4443,yana daga cikin familin mu  ya yansa basu sanmu ba  haka muma bamu sansu ba  ya tafi da zumuncin mu  allah ya jiqansa yasa ya huta ameeen ya hayyu ya qayyum,,
4444,allah ya zaba mana abinda ya fi alkhairi,,
4445,indai zai bayarda mulkin to alhamdulillahi,,
4446,happy sallah the gerry da retoh,,
4447,muna godiya aunty rahama,,
4448,allah yatemaka yabada sa a yakara sama bidar ku albarka amin,,
4449,allah yakara miki daukaka rahama kada allah yabawa makiya dama akanki          i love you so much,,
4450,allah ya kawo mana karshen wannan masifa data addabemu amin,,
4451,insha allah kano ce zata zama gwarzon shekara,,
4452,ai ba maganar hadi alaji  dumame ai duniya ne ballantana kuma ka samu bakin shayin agefe kana korawa,,
4453,wannan gsky ne    allah sa mu dace,,
4454,kyau diricter yasan camera yasan  editor  wannan sai malam aminu saira   up up,,
4455,nayi kuka   allah yakawo mana sauki,,
4456,allah ya saka wa mallam da alkhairi,,
4457,ikon allah   haka kaduna ta koma  toh allah ya kowa musu zaman lafia,,
4458,ai kuwa da angama rayani  domin kuwa zan aureta koda fuskar ta kamar ta ce  kwaran kwatsa dubu naji nagani,,
4459,tab tho allah ya kiyaye,,
4460,kanon dabo birni  mai mata mai mota  bijimin gari mai dala da goron dutse,,
4461,kanawa muna cikin farin ciki  sarauta tadawo gdanta na gado  uban abba muna godia,,
4462,thank you  mungode kai kuma zamu rika kiranka liti,,
4463,daga baya kenan  akwai alhinin da ya huce ka raka mamaci zuwa makwancin sa  allah ya jikan sojojin mu musulmai da suka rasa rayukan su,,
4464,oyo yo oyo yo sannu dazuwa gwaggo,,
4465,amen   ya allah  duniya ta yi rashi babba,,
4466,kinyi wuta ramatu  kyau na ziba su sai watarana na kwashewa,,
4467,luking carasamatic allah bar zumunci,,
4468,abinda ya dace kenan maigirma gwamna yayi  allah yasa suma wadanda yayi ma amalla dasu  suyi koyi da shi     ya allah mun tuba,,
4469,sbd idan yaga jirgi kamar yaro ne yaga mahaifiyarsa zata bashi mama zaita murna da zumudi,,
4470,gsky neh ashirye muke,,
4471,barka da sallah mlm aminu saira     muna jiran shirin film din labarina daga naka jamil kaduna m jos,,
4472,allah yayi mishi gafa,,
4473,a qara haquri,,
4474,ameen ameen aunty rahama banga ramadan basket ba fahh,,
4475,allah yasa suyi aiki daidai yadda anka u marcesu shine yan nigeriya kebukata allah yasa mudace,,
4476,credit goes to nazifi asnanic hope naziru sarkin waka zaiyi wata sabuwa shima  dan wannan wakar itama tayi dadi sosai,,
4477,allah ya baka lafia da sauran musulmi,,
4478,mai daraja kwankwaso,,
4479,baba is owk  hadin kan wadan nan muta nan muke so  ina da tabbacin allah zai kawo mana karshen ta addancin dake damun mu,,
4480,ya subhanallah  allah ya qara ganar damu,,
4481,tsarin zubinki daidai ne,,
4482,hello nigeria s      sai baba,,
4483,allah yabi musu hakkin su ranar gobi,,
4484,ya allah kaimin arzikin auren wanna baiwa taka alfarmar wanna watamai tarin falala da ni emarka,,
4485,to allah ya mashi mafita a duk inda yake    whereisdadiyata,,
4486,allah ya taimaki musulinci da musulmai aduk inda suke afa6in duniya ya rusa kafirci da kafirai,,
4487,yanxu aiii taxama rasha kowa yaxo ya shiga ya fitah lfy,,
4488,allah yasa kadai na shan tabar wiwi baba dan saura kadan a tasa a kawo ka dawanau,,
4489,amin rahama    weather sai hamdala,,
4490,this is a real prove that you re not under any police custody   allah ya gafarta mana gaba dayanmu,,
4491,allah yajikansa ai yayi kokari haka akeso,,
4492,dan jafaru yariman zazzau,,
4493,allah kasa mufi karfin zukatanmu  allah ka rabamu da aikin dana sani  maryam allah yayi miki rahama  allah yasa sanadiyyar wannan hukuncin aljannatul firdaus ta zama makoma a gareki  allah kuma y,,
4494,ado ado soyaya,,
4495,rip to her allah yasa idan tamu tazo yasa mucika da kyau da imani amin yah allah    every soul must teste deaths,,
4496,ameen but idan anyi addua ta kasance a aykace ba iya a rubuceba    allah yasa mu dace,,
4497,bandirawo sarkin aiki,,
4498,sai mai gaskiya nice work prince,,
4499,haka akeso celebrity su dingayin abin dazai taimakawa jama ar su    tabbas gwarzuwa  tayi abin a jinjina mata  kudos,,
4500,happy jummaat   and dorayi,,
4501,mu agurinmu badan wahala bane  nigeria se baba  two terms,,
4502,rahama i miss u ina kika boyene,,
4503,matin dai katsina muna jira har yanzu ba a haska mana shi ba don allah azo muma jaharmu ta katsina      domin mu samu kallon wanan film mai farin jini anty kafin dadinsa ya kare,,
4504,allah sarki      allah kadubi halin da talakawa muke ciki kayi mana maganin duk wannan masifar,,
4505,allah yajikansa yayafe masa zunubansa,,
4506,fatan alkhairi ga dukkan matasan duniya allah y kawo muna aikin yi me inganchi,,
4507,jinjina ga duk wani mutum da yake company mu mai albarka wato fkd production,,
4508,allah ya gafarta maka uban kasa usmanu jikan mallam sambo da mujaddadi shehu,,
4509,allah yasa wadanda akayi domin su sunji,,
4510,allah taya riqo,,
4511,gaskiya mina jin dadin shirinnan allah kara basira,,
4512,allah sarki na tausaya masa   ya ubangiji muna rokonka ka kawo mana agaji a cikin wannan duniya da muke ciki  ka bamu zaman lfy da abin da lfy zataci,,
4513,wai atiku up baba muna yin ka,,
4514,gaskiyane allah y bamu zama lfy kuma yakara hada kawunanmu amin ya allah,,
4515,allah ya sakawa masu custimetic da alheri,,
4516,rahama inason zuwa amma banida 5k,,
4517,kai babu inda yafimin dade kaman wannan a gurin musamman inda tafara wannan labarin a nan ne nataba ganin champion da yanema guduwa     allah yakara basira,,
4518,alhamdulillah  ba shakka yanzu wata kila wannan zai sa su jajirce wurin farfado da tattalin arziqin qasa  allah ya kare mana bala i,,
4519,alhamdullilah   gobe ne azumi,,
4520,allah ya bashi ikon gyara kuraransa kafin ya sauka,,
4521,anayi kina neman kudin ki,,
4522,toh allah tsare a sauka lafiya baba,,
4523,an baiwa buhari kyautar jirgi,,
4524,kai jama a allah shi sadamu da rahama,,
4525,amen ranki ya dade,,
4526,allah sarki baiwar allah  amincin allah ya qara tabbata agare ki,,
4527,ubangiji ta aa la ya jaddada rahma aga reshi ya kuma kyauta ta namu xuwan,,
4528,allahu akbar allah ya jikan maza yasa ya huta ya karbi shahadarka ya kyautata namu bayan naku,,
4529,awwwn soo touching    allah yadada buda miki ya kuma karekii,,
4530,kunyi kyau sosai  much love,,
4531,nayi missing irin wannan wankan  but amma banai aure matata saitayimun mai mai,,
4532,allah y ji kanshi da rahama,,
4533,much love allah ya ba da sa a,,
4534,allahu akbar rayuwa kenan allah ya jikan sa da rahama allah yasa aljannah ce makomar sa muma idan tamu tazo allah yasa mu cika da kyau imani albarkacin annabi muhammad saw      y,,
4535,allah ubangiji yajikan malam,,
4536,a hava pretty girl     ai kinpi yanxu ma kyau nasani,,
4537,allah yasa yahuta in tamu tazo allah yasa mucika da imani,,
4538,slm mallam ina labarin garzali miko zai qara dawowa cikin shirin kuwa  allah taimaka,,
4539,allah ya ja kwanan baba,,
4540,rahama kinyi kyau sosae allah yabaki miji nagari  ina miki fatan alkairi,,
4541,karo na 2 kenan da akayi hukuncin adalci  sauran kuma,,
4542,allah ubangiji yakyauta yamana saukin matsalar kasarmu nigerian kuma yaba mu shugabannin adulation,,
4543,allah kai muke roko daka kare mana rayukan mu da dukiyoyon mu  kuma ka kawo mana zaman lafiya a wannan kasa tamu ga baki daya,,
4544,allah sarki adalin shugaba babu komai allah ya na tara da kai,,
4545,enjoyment   allah ya samu a damshinku,,
4546,muna taya murnar samun wannan award da akayi allah yakara baseera da daukaka ameen,,
4547,allah ya bamu iko da lafiyar yi allah ya karbi ibadun mu,,
4548,ankasani  amma dai bakomai tunda dai ba a kaina farau ba  allah ya basu xaman lpy,,
4549,su baffa manya     safe trip,,
4550,godiya muke kauranmu,,
4551,alhamdulillah allah yakawo karshen musibarna n ameen,,
4552,wannan taya ne ko dan kunne      allah yabaki dogon kwana   ameen,,
4553,gaskiyane fatan alkhair agareku,,
4554,wish you allah bless  nidai yanzu inayin ka saboda yanda naga wasu suna zaginka,,
4555,awwwn  rahama stay safe dear,,
4556,don allah ko naira 50 ce  albarkacin watan ramadan  taimako baya kadan  ga number account  0022186134 muhammad lawal j gtbank aliyu yaro danshekara 15 dake tudun wada funtua  aliyu yana neman tai,,
4557,yaa allah yaa rabba yaa malik yaa jabbar yaa allah kaji qanmu ko muna raye komun mutu ko a qabari ko a dandalin alqiyama,,
4558,big one aunty rahama,,
4559,madallah da xuwan arteta munji  a i mu yan arsenal,,
4560,allah yajikan malam dasauran musulmi baki daya  amin ya hayyu ya qayyum,,
4561,muma munabayanka      sai baba buhari   allah yakara lafiya   allah yatayamaka,,
4562,omo see hanci     barakallah,,
4563,da dai yafi  yar uwa,,
4564,allah ya rabamu da makahon so  kiri kiri kasan ba sanka ake ba amma ka nace sai shi  duk mace mai hali irin na sumayya ta dena  nasiha ce,,
4565,in sha allahu allah sai ya yi mana maganin ku da wuri ba sai an yi nisa ba  tunda mu kun fi  arfinmu,,
4566,don allah kamana fassara abunda yake fadan don allah inaso nasan menene yake fadan,,
4567,washa wlh allah ya halicce ki de tsada and i like dat,,
4568,allah swt y ji an sa da rahama,,
4569,hmmm   allah yasa dai ba kalan namu sukayi ba  munata chanji chanji ashe bala ene,,
4570,taska kana ruwa     film yayi kyau  allah ya qara basira,,
4571,tabbas gwamma el rufai jajirtacce ne wajen ganin an sami zaman lafiya a kaduna state da  asa baki aya,,
4572,innalillahi wa ina raji u   ya allah kana ganin irin halin da muke ciki ya allah kawo mana sauki da rangomi ku kuma shugaban nin mu kusani allah ne ya baku milki kuma a lokacin da yake so ya karb,,
4573,tsoho baban yaro  adawo lfy,,
4574,kisha sha anin duniya ce babbar yarinya  son wani kin wanda yarasa,,
4575,don t tell me this is happening in algeria   hunger strike bayan allah yace                  and don t kill yourselves                  allah ya shirye mu da kokoyo da kafirai,,
4576,allah sarki talakan kasata nigeria wllh yakamata kasan mekake    abin da yashafeka daban abinda suke rigima akanshi daban allah kabamu masu sanmu da amana amin,,
4577,fateema inayinki wlh,,
4578,allah yanunamana darai da lfy daddy na,,
4579,abun yana mana dadi,,
4580,wannan gaskiya ne haka yeke tabbas allah ya kyauta,,
4581,bbc ina ganin mutuncinku fa,,
4582,yaushe zai kaishi aljannah ne,,
4583,ya rabbul alamin  ka kawo mana karshen wannan annobar dake damun mu  amin,,
4584,ya qoqarta sossai,,
4585,da alama kam    abun farinciki ak ba a boye shi,,
4586,kin bata ma duk wani musulmi mumini rai wlh   allahka ya femana laifukanmu gabadaya  kema idan har zuciyarkine allah yayafemiki  allah yashiryemu  allah yakawo mu karshen duniya wlh   allah ka ka,,
4587,alhamdulillah za a bude madinar mu  watau kano  gobe sai kano,,
4588,naji ance amaryar tamu nasan hotuna,,
4589,allah ya kyuata  ya kuma kawo karshen wannan lamari,,
4590,wanka da sarauta sun kare a kano     lafazi  izza da kwalliya shine kadai ya  kasaita kuma ita ce sarauta  allah ya taimaki sarki sunusi ii,,
4591,samarwa matasa aikin kwatsam allah yasa yahuta,,
4592,ana tayi muna jin dadi,,
4593,hahaha   9ija   qasarmu ta gado  allah shi karawa annabi muhammad s a w daraja da daukaka ameeen   hausa people wllh muna ruwa,,
4594,allah ya bashi ikon kawo chanji a harakar tsaron nigeria,,
4595,nidae in zakiyi kyauta da kayan gani anan base kin je danisa ba kinji yar uwa,,
4596,allah ya shirye mu  amin,,
4597,wlh na goyi bayansu na kashe nysc,,
4598,allahummah gafirlahu wa raham hum  wa af anhum baadahu    shugaba nagari mai kishi   allah ya haskaka kabarinka,,
4599,wow u luck beautiful barakallah masha allah  allah ya qara daukaka da nisan kwana  my best favorite actor,,
4600,alhamdulillah allah yakara daukaka dakuma imanin taimakawa mabukata,,
4601,gaskiya ne ya fa da   kuma muna rokan allah ya kawo mana karshen sa   allah yasa mu gama da duniya lfy,,
4602,thanks for the likes my supper   star allah ya kara arziqi da daukaka,,
4603,allah ya karba tuban ki rahama   allah kuma yasa shiryuwa ce ta har abada  we are all sinners is just that we sin differently  allah ya yafe mana baki daya  allah yana son bawansa mai tuba bayan,,
4604,allah madaukakin sarkikayimasu gafara ameeen,,
4605,haka yayi dai wllh tunda bana su bane dama na talaka wane kuma sun kwashe kayan su allah yashiga tsaka nin muda mugayen shugaba amin,,
4606,nifa duk abunda zai tashi sama indai ba jirgi bane toh lallai sai dai ince a safka lfy,,
4607,ikon allah har yayi shekara  how time flies  may allah forgive his shortcomings,,
4608,allah yasa haka itace mafi alheri  kuma allah bashi lafiya    aameen,,
4609,inkaji tambura sai sarki sai dan sarauta,,
4610,amana sai dan amana wlh ubangiji allah ya dawo mana da jagora,,
4611,farin ciki ga yan arsenal,,
4612,innalillahi wa inna ilaihirraji un   allah yayi mana garkuwa,,
4613,ya fi mashi  sai ya tuba zuwa ubangiji kuma  ya kyauta ma kanshi,,
4614,mahaifiyata abin alfaharina  wacee komai naza ayau a gobe itace sila   allah shikara daukakata  ya kuma gafartamata  ya albarkaci zuriarta  ya jikan mahaifinmu   da alummar musulmai gabaki daya,,
4615,ya allah kazunar da kasata nigeria lafiya ya allah dukaine wanda bayason zaman lafiya to allah gaka gashi a allah kabawa sojoji nigeria nasarr akan makiyan nigeria,,
4616,mutum biyun nan tun ina yaro suke burgeni har yanzu haka dana girma   amma kuma abin takaici basu san da zamana ba,,
4617,gaskia kinsamu crush congratulations,,
4618,kiji tsoron allah  kisani duk daren dadewa xaki mutu,,
4619,umaru musa yar adua  allah ya gafarta masa,,
4620,morning sir boss allah yakara girma,,
4621,babu laifi domin matukar ana samun malamai masu  taqwah  suna shiga siyasa abune mai matukar muhimmanci domin sune sukafi can canta dasu shiga domin kawo gyara a harkar,,
4622,hakika  dandinkowasabonsalo yayi kyau sosai  a yadda kuka zo karshe  muna fatan allah ya baku basirar cigaba da labarin har yafi na baya kayatarwa  arewa24 taku ce,,
4623,can t wait           kudu da arewa taka ce,,
4624,allah ya qara girma da daukaka,,
4625,allah ya kawo sauki dama ana mata kirari tadabo tunbin giwa koda mai kazo an fika bashakka kano zata iya zama ta daya anawa hasashen allah ya kawomana karshen wannan annoba bar,,
4626,allah ubangijin yayi rahama a gare shi  allah ya kyautata makwancin sa ya gafarta mai zunuban sa  allah ya kyautata tamu idan lokaci yayi,,
4627,what a lucky man hazbunallahu wani imal wakil allah ka lamince mana irin wannan sa ar,,
4628,eh mana nagidana ana mugun tare,,
4629,ameen ya rabb    they really need our prayers    ya rabbi ka karemu daga wannan annobar  kajiqan wainda suka rasu  masu shi kuma kabasu lfy,,
4630,allah ya karo girma da shekaru masu albarka,,
4631,that s my real auntie wallahi auntie rahama kina lokaci kinyi naki kinyi na wasu yanzu ma ga wani kina yi lokacin ki ne kiyi komai ba komai auntie,,
4632,allah shi tabbatar da gwamnan jahar kano ya allah,,
4633,ya subhanallah   allah ya kawo karshen wannan lamari,,
4634,ohhhhh   i knw it com out frm haters  bt tnk god u re safe nd fyn  the fisrt day i heard abt it i cry    duk da ma nasan baki san ina yinki ba  the thing pain me so much    bt tnkx to almighty  k,,
4635,gaskiyane malan falalu allha yarabamu girman kai amin soumma dan darajar annabi,,
4636,masha allahu godiya ta tabbata ga allah  allah yasa muyi karshe me kyau,,
4637,cewa zan karanta ingattatun labarai   duk da ina jimawa kafin in karanta labaran bbc news duk lokacin da nake neman cikakkun labari masu kai da gindi nakan ziyarci shafin labari na bbc domin samu,,
4638,allah yayi masa rahma yasa idan tamu tazo mu cika da imani,,
4639,allah ya kara daukaka ya kuma basira film din yayi kyau mutane suna ta bamu labari yayi sosai  sai mun xoo,,
4640,to itadai wanna rayuwa aigani gawane ya ishi wane tsoron allah mudai fatanmu anan shine allah ya shiryemu bakidaya harda itama dakuma wanda ake tunanin suna sabawa allah fatanmu shine allah yasa,,
